episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,202,201,0,0,0,0,0,0,1,34.04009306,0.03404009306,0,11,323.1483528,1,1,1,2.440134525,0.8672268384
1,339,136,0,0,0,0,0,0,1,20.28317377,0.02028317377,0,6,295.8116944,1,0,0,3.104165554,0.7032656128
2,440,100,0,0,0,0,0,0,1,20.76571542,0.02076571542,0,7,337.0940927,1,0,0,2.631714821,0.5261480577
3,601,160,0,0,0,0,0,0,1,23.13450716,0.02313450716,0,8,345.803779,1,0,0,2.828464746,0.6518262307
4,815,213,0,0,0,0,0,0,1,28.31877847,0.02831877847,0,6,211.8735456,1,0,0,2.485164165,0.7040474351
5,912,96,0,0,0,0,0,0,1,21.06150516,0.02106150516,0,10,474.7998742,1,0,0,2.689996719,0.5474214331
6,1125,212,0,0,0,0,0,0,1,34.14584417,0.03414584417,0,9,263.5752672,1,1,1,2.284448147,0.8978234335
7,1276,150,0,0,0,0,0,0,1,22.04926322,0.02204926322,0,8,362.8239149,1,0,0,3.120392799,0.6847915974
8,1331,54,0,0,1,0,0,0,0,11.35893112,0.01135893112,88.03645247,1,88.03645247,0,0,0,4.44768858,0.1715181738
9,1429,97,0,0,1,0,0,0,0,14.28668926,0.01428668926,69.99522295,4,279.9808918,0,0,0,2.001168728,0.8832109143
10,1599,169,0,0,0,0,0,0,1,23.71149174,0.02371149174,0,9,379.5627917,1,0,0,2.869510174,0.6283496669
11,1795,195,0,0,0,0,0,0,1,24.10922516,0.02410922516,0,9,373.3010887,1,0,0,2.764921427,0.6343417131
12,1971,175,0,0,0,0,0,0,1,21.67401794,0.02167401794,0,9,415.2437276,1,0,0,3.057456493,0.6893664624
13,2069,97,0,0,1,0,0,0,0,15.01125612,0.01501125612,66.616677,4,266.466708,1,0,0,2.02771163,0.8620553893
14,2124,54,0,0,1,0,0,0,0,11.20795488,0.01120795488,89.22234351,1,89.22234351,0,0,0,4.553770065,0.1512370607
15,2295,170,0,0,0,0,0,0,1,23.03600823,0.02303600823,0,8,347.2823902,1,0,0,2.998660326,0.6694062767
16,2383,87,0,0,1,0,0,0,0,13.94189321,0.01394189321,71.72627022,3,215.1788107,0,0,0,2.045107126,0.8054744888
17,2484,100,0,0,0,0,0,0,1,21.7983573,0.0217983573,0,9,412.8751482,1,0,0,2.476329088,0.562774848
18,2705,220,0,0,0,0,0,0,1,27.75009481,0.02775009481,0,10,360.3591292,1,0,0,2.271951437,0.7631311543
19,2874,168,0,0,0,0,0,0,1,24.12815828,0.02412815828,0,9,373.0081632,1,0,0,3.006841898,0.6528884661
20,2972,97,0,0,0,0,0,0,1,21.30441018,0.02130441018,0,7,328.5704669,1,0,0,2.601961851,0.5529073008
21,3165,192,0,0,0,0,0,1,0,39.04906875,0.03904906875,0,7,179.2616373,1,1,1,2.276802063,0.9049772398
22,3335,169,0,0,0,0,0,0,1,23.03158204,0.02303158204,0,6,260.511848,1,0,0,2.888779163,0.6918597502
23,3432,96,0,0,0,0,0,0,1,21.67259102,0.02167259102,0,10,461.4122969,1,0,0,2.582583666,0.5529040335
24,3629,196,0,0,0,0,0,0,1,27.35725075,0.02735725075,0,9,328.9804258,1,0,0,2.234484911,0.7671622019
25,3829,199,0,0,0,0,0,0,1,34.3543138,0.0343543138,0,8,232.8674078,1,1,1,2.318590403,0.8696850486
