episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,241,240,0,0,0,0,0,0,1,30.32611535,0.03032611535,0,12,395.6985543,1,0,0,2.686067343,0.6506209009
1,537,295,0,0,1,0,0,0,0,15.48146329,0.01548146329,64.59337734,3,193.780132,0,0,0,4.701735497,0.781339571
2,691,153,0,0,1,0,0,0,0,15.38371435,0.01538371435,65.0038071,6,390.0228426,0,0,0,4.758194447,0.4266356697
3,907,215,0,0,1,0,0,0,0,15.30796809,0.01530796809,65.32545627,26,1698.461863,0,0,0,4.756986618,0.6462151807
4,1249,341,0,0,0,0,0,0,1,26.43216063,0.02643216063,0,12,453.9923984,1,0,0,3.224404335,0.4844643232
5,1429,179,0,0,0,0,0,0,1,18.65072209,0.01865072209,0,10,536.17227,0,0,0,4.940340996,0.6583590735
6,1641,211,0,0,1,0,0,0,0,15.38948919,0.01538948919,64.97941467,6,389.876488,0,0,0,4.740267754,0.7713797536
7,1981,339,0,0,0,0,0,0,1,23.79189609,0.02379189609,0,12,504.37342,1,0,0,3.71535635,0.8089952024
8,2172,190,0,0,0,0,0,0,1,18.65709809,0.01865709809,0,9,482.3901315,0,0,0,4.911676884,0.6695317037
9,2359,186,0,0,1,0,0,0,0,15.32555553,0.01532555553,65.2504895,8,522.003916,0,0,0,4.767622948,0.7304907425
10,2710,350,0,0,0,0,0,0,1,19.72184915,0.01972184915,0,9,456.3466607,0,0,0,4.597579479,0.3752797271
11,2861,150,0,0,1,0,0,0,0,15.44274204,0.01544274204,64.75533925,13,841.8194103,0,0,0,4.710460663,0.6961444553
12,3220,358,0,0,0,0,0,0,1,23.53333425,0.02353333425,0,10,424.9291619,1,0,0,3.701723099,0.4439439699
13,3587,366,0,0,1,0,0,0,0,16.16215971,0.01616215971,61.8729191,6,371.2375146,0,0,0,4.228158951,0.7963909398
14,3778,190,0,0,0,0,0,0,1,18.96493935,0.01896493935,0,9,474.5599146,0,0,0,4.786168098,0.6762840715
15,3951,172,0,0,0,0,0,0,1,18.86055903,0.01886055903,0,9,477.18628,0,0,0,4.821273804,0.7043942653
16,4097,145,0,0,1,0,0,0,0,15.31925202,0.01531925202,65.27733851,21,1370.824109,0,0,0,4.763719559,0.7387405671
17,4398,300,0,0,0,0,0,0,1,26.17449381,0.02617449381,0,10,382.0513234,1,0,0,3.302407503,0.5102992561
18,4758,359,0,0,0,0,0,0,1,24.27037684,0.02427037684,0,13,535.632392,1,0,0,3.464704514,0.8121258677
19,4929,170,0,0,1,0,0,0,0,15.31881128,0.01531881128,65.27921661,10,652.7921661,0,0,0,4.773967266,0.7479119988
20,5228,298,0,0,0,0,0,0,1,26.17957519,0.02617957519,0,10,381.9771684,1,0,0,3.287710905,0.5205747434
21,5429,200,0,0,0,0,0,0,1,18.83916356,0.01883916356,0,9,477.7282161,0,0,0,4.852736473,0.608605927
22,5671,241,0,0,0,0,0,0,1,27.14307554,0.02714307554,0,15,552.6271325,1,0,0,2.549255133,0.7787488363
23,5987,315,0,0,1,0,0,0,0,17.02484844,0.01702484844,58.73767415,9,528.6390673,0,0,0,3.524936199,0.7896866431
24,6230,242,0,0,0,0,0,0,1,27.72090392,0.02772090392,0,10,360.7385975,1,0,0,2.98436594,0.6956812347
25,6417,186,0,0,1,0,0,0,0,15.33286727,0.01533286727,65.21937369,4,260.8774948,0,0,0,4.769663811,0.7978242703
26,6675,257,0,0,0,0,0,0,1,28.73639087,0.02873639087,0,12,417.5889746,1,0,0,2.888399124,0.6643553014
27,6841,165,0,0,0,0,0,0,1,18.15368524,0.01815368524,0,8,440.6818723,0,0,0,5.149231911,0.7895681223
28,7110,268,0,0,0,0,0,0,1,28.05128272,0.02805128272,0,13,463.4369176,1,0,0,2.38632226,0.7527989561
29,7317,206,0,0,1,0,0,0,0,15.29249531,0.01529249531,65.39155184,17,1111.656381,0,0,0,4.771948814,0.6230193333
30,7660,342,0,0,0,0,0,0,1,22.91042181,0.02291042181,0,10,436.4825792,1,0,0,3.737113237,0.4247169259
31,7931,270,0,0,0,0,0,0,1,25.98213468,0.02598213468,0,12,461.8558155,1,0,0,2.880825281,0.7659609483
32,8109,177,0,0,1,0,0,0,0,15.30867436,0.01530867436,65.32244246,18,1175.803964,0,0,0,4.76196003,0.6800956181
33,8449,339,0,0,0,0,0,0,1,26.98520344,0.02698520344,0,10,370.5734523,1,0,0,3.161759853,0.5730225909
34,8706,256,0,0,0,0,0,0,1,31.46761038,0.03146761038,0,10,317.7870794,1,0,0,2.626762629,0.5634699527
35,9015,308,0,0,0,0,0,0,1,26.39334124,0.02639334124,0,13,492.5484758,1,0,0,2.833730698,0.7671270526
36,9307,291,0,0,0,0,0,0,1,24.1325604,0.0241325604,0,12,497.2534949,1,0,0,3.6142416,0.5042447645
37,9620,312,0,0,0,0,0,0,1,28.15918999,0.02815918999,0,12,426.1486217,1,0,0,2.407357693,0.7427671718
38,9839,218,0,0,0,0,0,0,1,25.66179598,0.02566179598,0,10,389.6843388,1,0,0,3.084993124,0.6391433529
39,10112,272,0,0,0,0,0,0,1,25.34967097,0.02534967097,0,10,394.4824377,1,0,0,3.3673141,0.5763646905
40,10378,265,0,0,0,0,0,0,1,28.65926409,0.02865926409,0,9,314.0345813,1,0,0,2.318678141,0.5178604916
41,10555,176,0,0,1,0,0,0,0,15.31739145,0.01531739145,65.2852676,10,652.852676,0,0,0,4.756953716,0.6721998714
42,10882,326,0,0,1,0,0,0,0,15.74577028,0.01574577028,63.50911911,8,508.0729529,0,0,0,4.561065197,0.7830929916
43,11064,181,0,0,0,0,0,0,1,19.37558433,0.01937558433,0,10,516.1134667,0,0,0,4.66037941,0.6945120515
44,11236,171,0,0,1,0,0,0,0,15.31670105,0.01531670105,65.28821035,6,391.7292621,0,0,0,4.765259743,0.682323423
45,11524,287,0,0,0,0,0,0,1,23.81949657,0.02381949657,0,10,419.8241541,1,0,0,3.708226681,0.4944603873
46,11938,413,0,0,0,0,0,0,1,26.24197607,0.02624197607,0,14,533.496409,1,0,0,2.940441132,0.8200659835
47,12512,573,0,0,0,0,0,0,1,27.93928739,0.02793928739,0,15,536.8784032,1,0,0,2.431617498,0.8295115224
48,12679,166,0,0,1,0,0,0,0,15.59814632,0.01559814632,64.11018205,10,641.1018205,0,0,0,4.623176098,0.8009527072
49,12968,288,0,0,0,0,0,0,1,24.36899055,0.02436899055,0,12,492.4290964,1,0,0,3.494133234,0.5669185572
50,13170,201,0,0,0,0,0,0,1,19.77782647,0.01977782647,0,9,455.0550593,0,0,0,4.571576595,0.5914721995
51,13476,305,0,0,0,0,0,0,1,25.47677964,0.02547677964,0,10,392.5142872,1,0,0,3.403673649,0.545186092
52,13701,224,0,0,0,0,0,0,1,24.82362896,0.02482362896,0,12,483.4103836,1,0,0,3.589191437,0.614613582
53,13913,211,0,0,1,0,0,0,0,15.28893062,0.01528893062,65.40679823,15,981.1019735,0,0,0,4.751148701,0.614641102
54,14330,416,0,0,1,0,0,0,0,17.75971651,0.01775971651,56.3072051,8,450.4576408,0,0,0,2.968200684,0.8179055561
55,14660,329,0,0,0,0,0,0,1,26.19831241,0.02619831241,0,10,381.7039756,1,0,0,3.287822485,0.6568486326
56,14900,239,0,0,0,0,0,0,1,25.1859918,0.0251859918,0,17,674.9783823,1,0,0,3.240450859,0.771946227
57,15050,149,0,0,1,0,0,0,0,15.29993742,0.01529993742,65.35974448,17,1111.115656,0,0,0,4.748694897,0.6585713769
58,15178,127,0,0,1,0,0,0,0,15.28735496,0.01528735496,65.41353967,0,0,0,0,0,4.752318859,0.2595894896
59,15513,334,0,0,0,0,0,0,1,22.03075704,0.02203075704,0,10,453.9108657,1,0,0,3.951933622,0.4561121157
60,15673,159,0,0,1,0,0,0,0,15.2995994,0.0152995994,65.3611885,13,849.6954505,0,0,0,4.755751133,0.6709539733
61,16035,361,0,0,1,0,0,0,0,15.69919845,0.01569919845,63.69751954,4,254.7900782,0,0,0,4.564934731,0.7907264783
62,16194,158,0,0,0,0,0,0,1,18.46935398,0.01846935398,0,10,541.4374542,0,0,0,5.029789448,0.6521098104
63,16507,312,0,0,0,0,0,0,1,26.03482501,0.02603482501,0,10,384.1009108,1,0,0,3.297823668,0.5791996572
64,16633,125,0,0,1,0,0,0,0,15.31889392,0.01531889392,65.27886448,1,65.27886448,0,0,0,4.758709908,0.189519998
65,16901,267,0,0,1,0,0,0,0,15.89651197,0.01589651197,62.90688181,4,251.6275273,0,0,0,4.429752827,0.7381710171
66,17076,174,0,0,1,0,0,0,0,15.30390834,0.01530390834,65.34278551,18,1176.170139,0,0,0,4.754128933,0.6500150387
67,17308,231,0,0,0,0,0,0,1,21.56980126,0.02156980126,0,13,602.6944729,1,0,0,4.577011585,0.8195678694
68,17502,193,0,0,0,0,0,0,1,19.74492199,0.01974492199,0,10,506.4593319,0,0,0,4.543797493,0.6544751002
69,17732,229,0,0,0,0,0,0,1,18.91150411,0.01891150411,0,10,528.7786704,0,0,0,4.818562508,0.5553600362
70,17901,168,0,0,1,0,0,0,0,15.3154618,0.0153154618,65.29349314,6,391.7609588,0,0,0,4.76360321,0.7312697389
71,18119,217,0,0,0,0,0,0,1,19.15612276,0.01915612276,0,10,522.0263058,0,0,0,4.732314587,0.5861320728
72,18492,372,0,0,0,0,0,0,1,25.20988155,0.02520988155,0,10,396.6698527,1,0,0,3.398224354,0.4907255108
73,18634,141,0,0,1,0,0,0,0,15.29574217,0.01529574217,65.37767103,17,1111.420408,0,0,0,4.751523495,0.6542313589
74,19189,554,0,0,0,0,1,0,0,0.002620640902,2.62E-06,0,0,0,0,0,0,19.99890137,0.8914920576
75,19464,274,0,0,0,0,0,0,1,27.24156426,0.02724156426,0,10,367.0861153,1,0,0,3.26170826,0.6225186996
76,20020,555,0,0,0,0,0,0,1,27.13106387,0.02713106387,0,12,442.2974366,1,0,0,2.584763527,0.8291418395
77,20295,274,0,0,0,0,0,0,1,19.3880595,0.0193880595,0,9,464.2032382,0,0,0,4.67610693,0.5345671437
78,20467,171,0,0,1,0,0,0,0,18.60445459,0.01860445459,53.75056793,6,322.5034076,0,0,0,2.443254709,0.9559843739
79,21033,565,0,0,0,0,0,0,1,28.55137105,0.02855137105,0,13,455.3196404,1,0,0,2.352809668,0.8327503628
80,21308,274,0,0,0,0,0,0,1,24.54392021,0.02454392021,0,10,407.432876,1,0,0,3.450089216,0.5369166956
81,21461,152,0,0,1,0,0,0,0,15.32476025,0.01532476025,65.25387566,13,848.3003836,0,0,0,4.770017147,0.7417761883
82,21719,257,0,0,0,0,0,0,1,29.86406119,0.02986406119,0,10,334.85064,1,0,0,2.488081694,0.5811905398
83,21936,216,0,0,1,0,0,0,0,15.2797728,0.0152797728,65.44599932,2,130.8919986,0,0,0,4.753970623,0.5177314855
84,22283,346,0,0,0,0,0,0,1,22.5262959,0.0225262959,0,12,532.7107506,1,0,0,4.153965473,0.811078535
85,22470,186,0,0,0,0,0,0,1,19.17525219,0.01917525219,0,10,521.505527,0,0,0,4.730144978,0.673467832
86,22724,253,0,0,0,0,0,0,1,19.39016046,0.01939016046,0,10,515.7254898,0,0,0,4.654320717,0.5548864971
87,22903,178,0,0,0,0,0,0,1,19.46705594,0.01946705594,0,10,513.6883581,0,0,0,4.62309742,0.6405114561
88,23100,196,0,0,1,0,0,0,0,15.29996471,0.01529996471,65.35962786,9,588.2366508,0,0,0,4.760344028,0.6547517684
89,23478,377,0,0,0,0,0,0,1,24.93189098,0.02493189098,0,10,401.0927212,1,0,0,3.470090866,0.4725693459
90,23793,314,0,0,1,0,0,0,0,16.24212462,0.01624212462,61.56829993,5,307.8414996,0,0,0,4.171527863,0.780336047
91,24309,515,0,0,1,0,0,0,0,15.47551375,0.01547551375,64.61821016,7,452.3274711,0,0,0,4.701046467,0.828117994
92,24459,149,0,0,1,0,0,0,0,15.32950113,0.01532950113,65.23369493,6,391.4021696,0,0,0,4.764839649,0.7072227211
93,24605,145,0,0,1,0,0,0,0,15.29797901,0.01529797901,65.36811164,0,0,0,0,0,4.750675678,0.312716492
94,24911,305,0,0,0,0,0,0,1,19.08336803,0.01908336803,0,10,524.0165146,0,0,0,4.750877857,0.5261563306
95,25077,165,0,0,1,0,0,0,0,15.32871443,0.01532871443,65.23704285,10,652.3704285,0,0,0,4.772624016,0.7047363549
96,25473,395,0,0,0,0,0,0,1,27.15930217,0.02715930217,0,10,368.1979727,1,0,0,3.198677063,0.4734946782
97,25744,270,0,0,0,0,0,0,1,24.52570981,0.02452570981,0,11,448.5089355,1,0,0,3.493139982,0.7835759932
98,25923,178,0,0,0,0,0,0,1,19.91655424,0.01991655424,0,10,502.0948844,0,0,0,4.472453594,0.6779455293
99,26073,149,0,0,1,0,0,0,0,15.30090913,0.01530090913,65.35559368,15,980.3339052,0,0,0,4.7529006,0.6493511508
100,26296,222,0,0,0,0,0,0,1,23.48413241,0.02348413241,0,10,425.8194352,1,0,0,3.472808361,0.5679513156
101,26528,231,0,0,0,0,0,0,1,21.9253177,0.0219253177,0,14,638.5312264,1,0,0,4.480995655,0.8054234974
102,26852,323,0,0,0,0,0,0,1,26.16562724,0.02616562724,0,12,458.6169439,1,0,0,3.245169878,0.4852379768
103,27043,190,0,0,0,0,0,0,1,19.03011655,0.01903011655,0,10,525.4828562,0,0,0,4.800016403,0.6108553219
104,27239,195,0,0,1,0,0,0,0,15.31697643,0.01531697643,65.28703656,12,783.4444388,0,0,0,4.765571594,0.6975617244
105,27764,524,0,0,0,0,0,0,1,26.39284305,0.02639284305,0,12,454.6687137,1,0,0,2.881642818,0.8290186749
106,28035,270,0,0,0,0,0,0,1,25.51767273,0.02551767273,0,14,548.6393743,1,0,0,3.42271471,0.5674290232
107,28249,213,0,0,0,0,0,0,1,18.70380092,0.01870380092,0,8,427.7205492,0,0,0,4.898981094,0.6035766633
108,28553,303,0,0,0,0,0,0,1,23.90642534,0.02390642534,0,14,585.6166199,1,0,0,3.713397026,0.7874397932
109,28850,296,0,0,0,0,0,0,1,22.64690995,0.02264690995,0,10,441.5613442,1,0,0,3.847662926,0.4959283787
110,29018,167,0,0,1,0,0,0,0,15.3175007,0.0153175007,65.28480199,10,652.8480199,0,0,0,4.761087418,0.6727070783
111,29424,405,0,0,0,0,0,0,1,26.00898495,0.02600898495,0,12,461.3790205,1,0,0,3.296408653,0.4692481434
112,29551,126,0,0,1,0,0,0,0,15.3168485,0.0153168485,65.28758184,1,65.28758184,0,0,0,4.75560236,0.2114091113
113,29776,224,0,0,0,0,0,0,1,24.44150727,0.02444150727,0,13,531.8820913,1,0,0,3.473923683,0.7853682283
114,29920,143,0,0,1,0,0,0,0,15.68781146,0.01568781146,63.74375437,4,254.9750175,0,0,0,4.706236839,1.013505539
115,30302,381,0,0,0,0,0,0,1,27.11270649,0.02711270649,0,13,479.4799812,1,0,0,2.688254833,0.828062836
116,30606,303,0,0,0,0,0,0,1,24.66066729,0.02466066729,0,10,405.5040313,1,0,0,3.531727552,0.5536863987
117,30800,193,0,0,0,0,0,0,1,20.30089857,0.02030089857,0,10,492.5890332,0,0,0,4.41067028,0.6640000283
118,30951,150,0,0,1,0,0,0,0,15.35127175,0.01535127175,65.14118285,10,651.4118285,0,0,0,4.765910149,0.7387474855
119,31095,143,0,0,1,0,0,0,0,15.91644458,0.01591644458,62.82810176,8,502.6248141,0,0,0,4.512628555,0.9318081778
120,31472,376,0,0,0,0,0,0,1,19.57752351,0.01957752351,0,10,510.7898349,0,0,0,4.615776062,0.3190240228
121,31775,302,0,0,0,0,0,0,1,28.29252473,0.02829252473,0,14,494.8303529,1,0,0,2.332651615,0.7849179935
122,31999,223,0,0,0,0,0,0,1,26.24229094,0.02624229094,0,10,381.0642914,1,0,0,3.260088444,0.6193327024
123,32209,209,0,0,0,0,0,0,1,28.0040051,0.0280040051,0,10,357.0917789,1,0,0,3.053003788,0.6429258399
124,32341,131,0,0,1,0,0,0,0,15.30299529,0.01530299529,65.34668417,10,653.4668417,0,0,0,4.764243126,0.6900386897
125,32628,286,0,0,0,0,0,0,1,26.81078016,0.02681078016,0,13,484.8795865,1,0,0,2.708015919,0.7780353724
126,32922,293,0,0,0,0,0,0,1,20.23045451,0.02023045451,0,10,494.3042675,0,0,0,4.469532013,0.4584529305
127,33083,160,0,0,0,0,0,0,1,18.82250229,0.01882250229,0,10,531.2789897,0,0,0,4.845844269,0.660864666
128,33366,282,0,0,0,0,0,0,1,25.86118435,0.02586118435,0,16,618.687829,1,0,0,3.34856391,0.5390822861
129,33638,271,0,0,0,0,0,0,1,27.1632271,0.0271632271,0,13,478.5882013,1,0,0,2.55000639,0.7634346463
130,33796,157,0,0,1,0,0,0,0,15.31089279,0.01531089279,65.31297775,8,522.503822,0,0,0,4.756949425,0.7132734523
131,33988,191,0,0,0,0,0,0,1,18.32240733,0.01832240733,0,8,436.6238485,0,0,0,5.087708473,0.7147478349
132,34161,172,0,0,1,0,0,0,0,15.51112681,0.01551112681,64.46984879,4,257.8793952,0,0,0,4.72903347,0.514985894
133,34605,443,0,0,0,0,0,0,1,23.68355119,0.02368355119,0,12,506.680772,1,0,0,3.77704525,0.8300102259
134,34851,245,0,0,0,0,0,0,1,24.66745308,0.02466745308,0,12,486.470977,1,0,0,3.561259508,0.5761411552
135,35052,200,0,0,0,0,0,0,1,20.28588335,0.02028588335,0,10,492.9536381,0,0,0,4.358163834,0.6928295414
136,35198,145,0,0,1,0,0,0,0,15.30483314,0.01530483314,65.33883712,12,784.0660455,0,0,0,4.763167858,0.6569506686
137,35513,314,0,0,0,0,0,0,1,24.26331123,0.02426331123,0,10,412.1449008,1,0,0,3.684189081,0.4818880107
138,35780,266,0,0,1,0,0,0,0,16.45662965,0.01645662965,60.76578383,5,303.8289192,0,0,0,4.024034023,0.7640170785
139,36000,219,0,0,0,0,0,0,1,19.58413797,0.01958413797,0,9,459.555586,0,0,0,4.639547348,0.5797139276
140,36160,159,0,0,1,0,0,0,0,15.32424179,0.01532424179,65.25608338,10,652.5608338,0,0,0,4.761276245,0.6085088577
141,36325,164,0,0,0,0,0,0,1,18.67536471,0.01867536471,0,9,481.9182993,0,0,0,4.904862881,0.6483015166
142,36720,394,0,0,1,0,0,0,0,15.72792375,0.01572792375,63.5811831,6,381.4870986,0,0,0,4.561800003,0.8062708924
143,36992,271,0,0,0,0,0,0,1,27.46541132,0.02746541132,0,15,546.1414658,1,0,0,2.512747049,0.7877164185
144,37344,351,0,0,0,0,0,0,1,25.73201355,0.02573201355,0,12,466.3451609,1,0,0,3.352494955,0.5778395635
