episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,100,99,200,1,0,0,0,0,0,36.62944045,0.03662944045,0,4,109.2017773,1,1,1,2.419204712,0.6361610302
1,196,95,200,1,0,0,0,0,0,34.83769304,0.03483769304,0,4,114.8181654,1,1,1,2.197952747,0.6401909499
2,293,96,200,1,0,0,0,0,0,35.0299818,0.0350299818,0,3,85.64092373,1,1,1,2.379394293,0.5807381323
3,391,97,200,1,0,0,0,0,0,35.90852715,0.03590852715,0,4,111.3941539,1,1,1,2.143829346,0.6175495337
4,488,96,200,1,0,0,0,0,0,34.97912709,0.03497912709,0,4,114.3539114,1,1,1,2.14539814,0.675073686
5,586,97,200,1,0,0,0,0,0,35.94156024,0.03594156024,0,5,139.1147175,1,1,1,2.289803028,0.5900313788
6,683,96,200,1,0,0,0,0,0,35.17712957,0.03517712957,0,4,113.7102444,1,1,1,2.204167843,0.5906419678
7,781,97,200,1,0,0,0,0,0,36.21477928,0.03621477928,0,5,138.0651794,1,1,1,2.214319706,0.584454993
8,877,95,200,1,0,0,0,0,0,35.05135503,0.03505135503,0,3,85.58870255,1,1,1,2.240555525,0.6041352832
9,974,96,200,1,0,0,0,0,0,35.23806523,0.03523806523,0,4,113.5136102,1,1,1,2.235164642,0.6764615216
10,1072,97,200,1,0,0,0,0,0,35.88537901,0.03588537901,0,5,139.332512,1,1,1,2.153531313,0.6279196028
11,1170,97,200,1,0,0,0,0,0,36.01343023,0.03601343023,0,4,111.0696752,1,1,1,2.156654358,0.6455737577
12,1266,95,200,1,0,0,0,0,0,35.12205499,0.03512205499,0,3,85.41641429,1,1,1,2.307295561,0.5975019024
13,1364,97,200,1,0,0,0,0,0,36.21312086,0.03621312086,0,7,193.3001032,1,1,1,2.242710352,0.5890575572
14,1461,96,200,1,0,0,0,0,0,35.09723462,0.03509723462,0,4,113.9690931,1,1,1,2.30743885,0.6704062946
15,1559,97,200,1,0,0,0,0,0,36.02726611,0.03602726611,0,4,111.0270201,1,1,1,2.212444067,0.6313467955
16,1656,96,200,1,0,0,0,0,0,35.22627534,0.03522627534,0,4,113.5516021,1,1,1,2.258340836,0.6929898878
17,1754,97,200,1,0,0,0,0,0,35.85101308,0.03585101308,0,4,111.5728582,1,1,1,2.190186501,0.5923096932
18,1850,95,200,1,0,0,0,0,0,35.1526053,0.0351526053,0,3,85.34218088,1,1,1,2.348691463,0.6138612889
19,1948,97,200,1,0,0,0,0,0,36.1357926,0.0361357926,0,4,110.6935731,1,1,1,2.249065161,0.5906703028
