episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,83,82,0,0,1,0,0,0,0,10.77408122,0.01077408122,92.8153389,0,0,0,0,0,4.754722595,0.09398762407
1,219,135,0,0,0,0,0,0,1,16.06455076,0.01606455076,0,7,435.7420325,1,0,0,3.479870558,0.3914970889
2,339,119,0,0,0,0,0,1,0,212.6846008,0.2126846008,0,0,0,0,0,0,0,0.001331599732
0,263,262,0,0,0,0,0,0,1,15.10173526,0.01510173526,0,7,463.5228917,0,0,0,4.425422192,0.1704947524
1,946,682,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.4008503,5.21E-06
2,1094,147,0,0,0,0,0,0,1,15.51699454,0.01551699454,0,7,451.1182873,1,0,0,3.699809313,0.3508171296
3,1257,162,0,0,1,0,0,0,0,10.75771873,0.01075771873,92.95651109,0,0,0,0,0,4.757171631,0.06372967935
4,1830,572,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.4008503,5.21E-06
5,1852,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.4008503,1.78E-05
6,1937,84,0,0,1,0,0,0,0,10.77793059,0.01077793059,92.7821896,0,0,0,0,0,4.754930019,0.0924204577
7,2577,639,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.4008503,5.21E-06
8,2682,104,0,0,0,0,0,0,1,15.4532325,0.0154532325,0,6,388.2682797,0,0,0,4.181886673,0.4611742191
9,2811,128,0,0,0,0,0,0,1,14.88789891,0.01488789891,0,6,403.0118714,0,0,0,3.93333602,0.3617740162
10,2891,79,0,0,1,0,0,0,0,10.84163558,0.01084163558,92.23700546,2,184.4740109,0,0,0,4.755540848,0.152825958
11,3023,131,0,0,0,0,0,0,1,16.69731002,0.01669731002,0,7,419.2292047,1,0,0,3.201721907,0.4370483999
12,3125,101,0,0,0,0,0,0,1,14.66946534,0.01466946534,0,5,340.8440515,0,0,0,4.670987129,0.3800137288
13,3210,84,0,0,1,0,0,0,0,10.7852589,0.0107852589,92.71914651,0,0,0,0,0,4.75058794,0.1027045373
14,3774,563,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.4008503,5.21E-06
15,3920,145,0,0,0,0,0,0,1,16.60696371,0.01660696371,0,9,541.9413298,1,0,0,3.093838453,0.4022595412
16,4005,84,0,0,1,0,0,0,0,10.78090429,0.01078090429,92.75659747,0,0,0,0,0,4.756662846,0.1064301976
17,4661,655,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.4008503,5.21E-06
18,4771,109,0,0,0,0,0,0,1,14.55609104,0.01455609104,0,5,343.4988134,0,0,0,4.723309994,0.3871192557
19,4910,138,0,0,0,0,0,0,1,17.05975949,0.01705975949,0,9,527.5572617,1,0,0,2.882477522,0.4255984541
20,4995,84,0,0,1,0,0,0,0,10.77587099,0.01077587099,92.79992321,0,0,0,0,0,4.753404617,0.08006858409
21,5581,585,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.4008503,5.21E-06
22,5832,250,0,0,0,0,0,0,1,20.55826094,0.02055826094,0,7,340.4957268,1,0,0,2.522401094,0.2993004193
23,5918,85,0,0,1,0,0,0,0,10.78260802,0.01078260802,92.74194132,0,0,0,0,0,4.762217522,0.1274356286
24,6027,108,0,0,0,0,0,0,1,15.14145708,0.01514145708,0,10,660.4384206,0,0,0,3.761614323,0.4262990128
25,6143,115,0,0,1,0,0,0,0,10.75813578,0.01075813578,92.95290751,0,0,0,0,0,4.75705862,0.07586069789
26,6707,563,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.4008503,5.21E-06
27,6971,263,0,0,0,0,0,0,1,18.00520254,0.01800520254,0,6,333.2370178,1,0,0,3.32989502,0.2449265524
28,7525,553,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.4008503,5.21E-06
29,7684,158,0,0,0,0,0,0,1,15.80833843,0.01580833843,0,6,379.5465302,1,0,0,3.565050125,0.2970574294
30,7764,79,0,0,1,0,0,0,0,10.78707248,0.01078707248,92.70355804,0,0,0,0,0,4.757861614,0.1410922778
31,7971,206,0,0,1,0,0,0,0,10.76871195,0.01076871195,92.86161659,0,0,0,0,0,4.751584053,0.02785023738
32,8574,602,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.4008503,5.21E-06
33,8711,136,0,0,0,0,0,0,1,16.04132907,0.01604132907,0,7,436.3728198,1,0,0,3.367129564,0.4304336239
34,8793,81,0,0,1,0,0,0,0,10.7842717,0.0107842717,92.72763406,0,0,0,0,0,4.761740208,0.1148040615
35,8909,115,0,0,1,0,0,0,0,10.75729511,0.01075729511,92.96017162,0,0,0,0,0,4.757339001,0.02492496331
