episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,371,370,0,0,1,0,0,0,0,15.28684658,0.01528684658,65.41571505,2,130.8314301,0,0,0,4.758707523,0.5346213204
1,919,547,0,0,0,0,1,0,0,0.002461546075,2.46E-06,0,0,0,0,0,0,19.99894714,0.1216544363
2,1466,546,0,0,0,0,1,0,0,0.00245493319,2.45E-06,0,0,0,0,0,0,19.99894714,0.101785378
3,1646,179,0,0,1,0,0,0,0,15.26578471,0.01526578471,65.50596768,0,0,0,0,0,4.754477978,0.8837173511
4,2206,559,0,0,0,0,1,0,0,0.002499235361,2.50E-06,0,0,0,0,0,0,19.99894714,0.1015421209
5,2760,553,0,0,0,0,1,0,0,0.002461546075,2.46E-06,0,0,0,0,0,0,19.99894714,0.1216544103
6,3260,499,0,0,0,0,0,0,1,22.84519546,0.02284519546,0,10,437.7288002,1,0,0,3.228638649,0.5761783448
7,3800,539,0,0,0,0,1,0,0,0.002501802264,2.50E-06,0,0,0,0,0,0,19.99894714,0.1214419245
8,4095,294,0,0,0,0,0,0,1,22.38849807,0.02238849807,0,10,446.6579209,1,0,0,3.351003647,0.5506776348
9,4665,569,0,0,0,0,1,0,0,0.002562940899,2.56E-06,0,0,0,0,0,0,19.99890137,0.1018161943
10,4839,173,0,0,0,0,0,0,1,21.87966728,0.02187966728,0,13,594.1589438,1,0,0,4.374719143,0.745252215
11,5393,553,0,0,0,0,1,0,0,0.002461546075,2.46E-06,0,0,0,0,0,0,19.99894714,0.1216544103
12,5574,180,0,0,1,0,0,0,0,15.26599922,0.01526599922,65.50504722,0,0,0,0,0,4.754671574,0.8453666064
13,6073,498,0,0,1,0,0,0,0,15.27258012,0.01527258012,65.47682135,0,0,0,0,0,4.753863811,0.5304233455
14,6644,570,0,0,0,0,1,0,0,0.002499235361,2.50E-06,0,0,0,0,0,0,19.99894714,0.1015420671
15,7209,564,0,0,0,0,1,0,0,0.002501802264,2.50E-06,0,0,0,0,0,0,19.99894714,0.1214417689
16,7721,511,0,0,1,0,0,0,0,15.30304397,0.01530304397,65.3464763,0,0,0,0,0,4.761746883,0.4643115531
17,8275,553,0,0,0,0,1,0,0,0.002487959628,2.49E-06,0,0,0,0,0,0,19.99894714,0.1015422615
18,8467,191,0,0,1,0,0,0,0,15.2635249,0.0152635249,65.51566605,1,65.51566605,0,0,0,4.757052898,0.84802628
