episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,64,63,0,0,1,0,0,0,0,15.30026905,0.01530026905,65.3583278,1,65.3583278,0,0,0,4.759985447,0.1232217889
1,132,67,0,0,0,0,0,0,1,17.62149251,0.01762149251,0,9,510.7399385,0,0,0,5.542920589,0.6177827037
2,201,68,0,0,1,0,0,0,0,18.73759441,0.01873759441,53.36864371,3,160.1059311,0,0,0,3.38729763,0.6301740102
3,264,62,0,0,1,0,0,0,0,15.30863601,0.01530863601,65.32260609,0,0,0,0,0,4.756581783,0.3192825809
4,328,63,0,0,1,0,0,0,0,15.39421935,0.01539421935,64.95944856,1,64.95944856,0,0,0,4.738126755,0.1883065116
5,399,70,0,0,0,0,0,0,1,18.67848442,0.01867848442,0,7,374.7627401,0,0,0,4.997275352,0.5157461598
6,474,74,0,0,0,0,0,0,1,21.06322149,0.02106322149,0,11,522.2373039,1,0,0,4.990038395,0.7642073746
7,533,58,0,0,1,0,0,0,0,15.45511518,0.01545511518,64.70349707,6,388.2209824,0,0,0,4.734244347,0.2440862744
8,594,60,0,0,1,0,0,0,0,15.31491787,0.01531491787,65.29581213,0,0,0,0,0,4.753087521,0.1388072843
9,672,77,0,0,0,0,0,0,1,20.57159464,0.02057159464,0,11,534.7179056,0,0,0,5.098230839,0.7635773492
10,737,64,0,0,1,0,0,0,0,15.33468115,0.01533468115,65.21165912,0,0,0,0,0,4.767446995,0.2577089532
11,802,64,0,0,1,0,0,0,0,15.29922633,0.01529922633,65.36278229,0,0,0,0,0,4.777834415,0.1464625189
12,877,74,0,0,0,0,0,0,1,20.00684123,0.02000684123,0,14,699.7606389,0,0,0,5.415605068,0.756317329
13,1006,128,200,1,0,0,0,0,0,47.92892783,0.04792892783,0,11,229.5064901,1,1,1,2.458627939,0.6090149889
14,1070,63,0,0,1,0,0,0,0,15.26978433,0.01526978433,65.48880971,0,0,0,0,0,4.758668423,0.1169992729
15,1134,63,0,0,1,0,0,0,0,14.15772348,0.01415772348,70.63282467,3,211.898474,0,0,0,6.989263535,0.7884497988
16,1210,75,0,0,0,0,0,0,1,20.06685842,0.02006685842,0,13,647.8343409,0,0,0,5.451826096,0.7656436374
17,1271,60,0,0,1,0,0,0,0,15.29346653,0.01529346653,65.38739913,0,0,0,0,0,4.755208492,0.1572554386
18,1332,60,0,0,1,0,0,0,0,15.30349698,0.01530349698,65.3445419,11,718.7899609,0,0,0,4.761891842,0.5296055625
19,1462,129,200,1,0,0,0,0,0,48.23206987,0.04823206987,0,11,228.0640252,1,1,1,2.510002851,0.5788629606
20,1523,60,0,0,1,0,0,0,0,15.2810561,0.0152810561,65.44050316,0,0,0,0,0,4.759231567,0.09425390051
21,1594,70,0,0,0,0,0,0,1,18.1539926,0.0181539926,0,12,661.0116168,0,0,0,6.264239311,0.7550932632
22,1658,63,0,0,1,0,0,0,0,15.27849026,0.01527849026,65.45149312,0,0,0,0,0,4.781391144,0.3893840848
23,1722,63,0,0,1,0,0,0,0,15.29681836,0.01529681836,65.37307149,0,0,0,0,0,4.742855549,0.105000483
24,1788,65,0,0,1,0,0,0,0,15.3681163,0.0153681163,65.06978349,0,0,0,0,0,4.731652737,0.3683404415
25,1849,60,0,0,1,0,0,0,0,15.27646583,0.01527646583,65.46016669,0,0,0,0,0,4.777674675,0.1177408502
26,1924,74,0,0,0,0,0,0,1,19.12976471,0.01912976471,0,9,470.4710244,0,0,0,5.722550392,0.7671433024
27,1988,63,0,0,1,0,0,0,0,15.43586573,0.01543586573,64.78418622,1,64.78418622,0,0,0,4.712711334,0.1115760009
28,2055,66,0,0,1,0,0,0,0,17.20683741,0.01720683741,58.11643221,3,174.3492966,0,0,0,4.415073872,0.6219600032
29,2131,75,0,0,0,0,0,0,1,20.98877946,0.02098877946,0,11,524.0895508,1,0,0,5.027380466,0.7693213499
30,2201,69,0,0,0,0,0,0,1,17.93834267,0.01793834267,0,9,501.7185904,0,0,0,5.291058064,0.6332995731
31,2265,63,0,0,1,0,0,0,0,15.29171983,0.01529171983,65.394868,0,0,0,0,0,4.779102325,0.116634073
32,2339,73,0,0,0,0,0,0,1,20.48131739,0.02048131739,0,11,537.0748272,0,0,0,5.21410799,0.7651645973
33,2402,62,0,0,1,0,0,0,0,15.36470772,0.01536470772,65.08421888,0,0,0,0,0,4.741078854,0.1340119632
34,2531,128,200,1,0,0,0,0,0,48.09935103,0.04809935103,0,11,228.6933142,1,1,1,2.231537104,0.6760552152
35,2599,67,0,0,0,0,0,0,1,15.76608452,0.01576608452,0,9,570.8456014,0,0,0,6.863650799,0.6178656917
36,2727,127,200,1,0,0,0,0,0,47.93149313,0.04793149313,0,12,250.3573166,1,1,1,2.936153889,0.5815851444
37,2794,66,0,0,0,0,0,0,1,17.6938326,0.0176938326,0,7,395.6180755,0,0,0,5.875434399,0.3535962817
38,2873,78,0,0,0,0,0,0,1,19.7287923,0.0197287923,0,12,608.2480782,0,0,0,5.692778587,0.7735916481
39,2934,60,0,0,1,0,0,0,0,16.18313615,0.01618313615,61.79271996,2,123.5854399,0,0,0,4.185202122,0.2509107265
40,3015,80,0,0,0,0,0,0,1,22.24743392,0.02224743392,0,13,584.3370541,1,0,0,4.40227747,0.7841195208
41,3084,68,0,0,0,0,0,0,1,18.05243681,0.01805243681,0,7,387.7592855,0,0,0,5.49912262,0.3483593785
42,3150,65,0,0,0,0,0,0,1,17.64893974,0.01764893974,0,10,566.6062748,0,0,0,5.521332264,0.6124695448
43,3215,64,0,0,1,0,0,0,0,15.63354363,0.01563354363,63.96502441,4,255.8600977,0,0,0,4.62313509,0.1948801189
44,3275,59,0,0,1,0,0,0,0,15.27947169,0.01527947169,65.44728906,0,0,0,0,0,4.758773327,0.08321485485
45,3347,71,0,0,0,0,0,0,1,18.71237236,0.01871237236,0,12,641.2869396,0,0,0,6.101334095,0.7732308372
46,3408,60,0,0,1,0,0,0,0,15.29668786,0.01529668786,65.37362921,0,0,0,0,0,4.766656399,0.362964068
47,3473,64,0,0,1,0,0,0,0,15.30226737,0.01530226737,65.34979268,2,130.6995854,0,0,0,4.76118803,0.1489446605
48,3541,67,0,0,0,0,0,0,1,17.54194311,0.01754194311,0,9,513.0560477,0,0,0,5.712127686,0.588159663
49,3613,71,0,0,1,0,0,0,0,19.59398006,0.01959398006,51.03608337,3,153.1082501,0,0,0,3.027991056,0.5642631665
50,3687,73,0,0,0,0,0,0,1,19.47776473,0.01947776473,0,12,616.0871212,0,0,0,5.638382912,0.7609851911
51,3752,64,0,0,1,0,0,0,0,18.06819071,0.01806819071,55.3458847,3,166.0376541,0,0,0,3.765059471,0.6503675365
