episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,108,107,1622.767447,0,0,0,0,0,1,18.26801243,0.01826801243,0,10,547.4049265,0,0,0,5.229807854,0.6018547256
1,177,68,1241.849632,0,1,0,0,0,0,14.14693235,0.01414693235,70.6867026,3,212.0601078,0,0,0,7.015542507,0.8019671266
2,256,78,1347.503691,0,0,0,0,0,1,17.1394144,0.0171394144,0,9,525.105455,0,0,0,5.796009541,0.5861747447
3,353,96,1286.778467,0,0,0,0,0,1,17.25358121,0.01725358121,0,13,753.466764,0,0,0,6.812551975,0.7642043171
4,421,67,1196.517709,0,1,0,0,0,0,13.44981995,0.01344981995,74.35043768,3,223.0513131,0,0,0,7.657923222,0.7624405363
5,557,135,3845.80856,0,0,0,0,1,0,49.53594419,0.04953594419,0,16,322.9977799,1,1,1,2.243674994,0.8506784162
6,633,75,1450.671683,0,0,0,0,0,1,17.15880383,0.01715880383,0,9,524.5120867,0,0,0,5.982905388,0.4947893648
7,737,103,1710.878633,0,0,0,0,0,1,18.76828133,0.01876828133,0,10,532.8138376,0,0,0,4.957757473,0.5780420504
8,835,97,2254.299181,0,0,0,0,0,1,24.7503725,0.0247503725,0,8,323.2274585,1,0,0,3.010287762,0.4378846846
9,911,75,1262.929012,0,1,0,0,0,0,14.36173769,0.01436173769,69.6294572,3,208.8883716,0,0,0,6.794784069,0.87746715
10,1016,104,1247.083195,0,0,0,0,0,1,16.96905009,0.01696905009,0,13,766.1006322,0,0,0,6.920161247,0.7632364863
11,1092,75,1508.054375,0,0,0,0,0,1,18.1435245,0.0181435245,0,9,496.0447459,0,0,0,5.40024662,0.4742674976
12,1187,94,1263.527039,0,0,0,0,0,1,16.96487614,0.01696487614,0,12,707.3438025,0,0,0,6.959553719,0.7582101896
13,1269,81,2032.251524,0,1,0,0,0,0,15.36571982,0.01536571982,65.07993193,0,0,0,0,0,4.732861996,0.3173299414
14,1351,81,1775.920885,0,1,0,0,0,0,19.49578206,0.01949578206,51.29314624,3,153.8794387,0,0,0,3.175712347,0.7424706061
15,1438,86,2137.224225,0,0,0,0,0,1,22.25355795,0.02225355795,0,8,359.493076,1,0,0,3.253426075,0.4052279996
16,1527,88,1133.625844,0,0,0,0,0,1,15.90851516,0.01590851516,0,13,817.1724307,0,0,0,7.658519745,0.7682854532
17,1601,73,1305.343124,0,1,0,0,0,0,15.08640354,0.01508640354,66.28485028,3,198.8545509,0,0,0,6.126075745,0.7885379908
18,1678,76,2034.184754,0,1,0,0,0,0,15.3842337,0.0153842337,65.00161266,2,130.0032253,0,0,0,4.733341217,0.3166915135
19,1778,99,1272.556434,0,0,0,0,0,1,17.13063267,0.01713063267,0,14,817.2494426,0,0,0,6.947428703,0.7560900224
20,1849,70,1304.682576,0,1,0,0,0,0,15.08865654,0.01508865654,66.2749528,3,198.8248584,0,0,0,6.084434032,0.7403637749
21,1927,77,2035.017751,0,1,0,0,0,0,15.30452807,0.01530452807,65.34013956,0,0,0,0,0,4.761956692,0.34633725
22,2005,77,1210.546902,0,0,0,0,0,1,15.51466719,0.01551466719,0,8,515.6410965,0,0,0,7.124063015,0.4828385103
23,2076,70,1185.11612,0,1,0,0,0,0,15.01192625,0.01501192625,66.61370324,3,199.8411097,0,0,0,6.200218201,0.9333933854
24,2139,62,957.9747405,0,1,0,0,0,0,16.14630437,0.01614630437,61.93367701,3,185.801031,0,0,0,4.552204609,1.952276507
25,2224,84,1347.623452,0,0,0,0,0,1,16.75812306,0.01675812306,0,9,537.0529843,0,0,0,6.239693165,0.4780347773
26,2322,97,1701.379186,0,0,0,0,0,1,19.38559904,0.01938559904,0,9,464.2621556,0,0,0,4.659638882,0.616381724
27,2403,80,2048.089096,0,1,0,0,0,0,15.26456721,0.01526456721,65.51119244,0,0,0,0,0,4.750939369,0.0759435903
28,2494,90,1245.886162,0,0,0,0,0,1,16.67375624,0.01667375624,0,13,779.6683491,0,0,0,7.172829151,0.753113677
29,2581,86,1960.001509,0,1,0,0,0,0,15.30625119,0.01530625119,65.33278381,0,0,0,0,0,4.754814625,0.3201166787
30,2652,70,1293.955531,0,1,0,0,0,0,14.93344958,0.01493344958,66.96376446,3,200.8912934,0,0,0,6.25649929,0.7678743724
31,2719,66,2046.145513,0,1,0,0,0,0,15.25355781,0.01525355781,65.55847576,0,0,0,0,0,4.771478176,0.08554366648
32,2828,108,1760.442659,0,0,0,0,0,1,19.49009936,0.01949009936,0,9,461.7729153,0,0,0,4.549507618,0.6086569383
33,2899,70,1186.875588,0,1,0,0,0,0,14.19269835,0.01419269835,70.45876514,3,211.3762954,0,0,0,6.958658695,0.8488361955
34,3013,113,1390.970941,0,0,0,0,0,1,18.02887684,0.01802887684,0,13,721.0654393,0,0,0,6.263699532,0.7553576719
35,3122,108,1517.619963,0,0,0,0,0,1,19.81585901,0.01981585901,0,12,605.5755642,0,0,0,5.492708683,0.7701604549
36,3197,74,1449.862778,0,1,0,0,0,0,16.40338487,0.01640338487,60.96302732,3,182.889082,0,0,0,5.020321369,0.7785802278
37,3276,78,1265.467456,0,0,0,0,0,1,15.51304986,0.01551304986,0,9,580.1567121,0,0,0,7.050614834,0.4430547262
38,3425,148,3118.077714,0,0,0,0,0,1,48.13750297,0.04813750297,0,30,623.2147109,1,1,1,2.309874296,0.8644913951
39,3524,98,1875.612709,0,0,0,0,0,1,20.96058198,0.02096058198,0,9,429.3773908,1,0,0,4.054367542,0.6173351167
40,3603,78,1554.777651,0,0,0,0,0,1,18.71463438,0.01871463438,0,9,480.9070709,0,0,0,4.971745968,0.5055871718
41,3675,71,1436.277795,0,1,0,0,0,0,15.27689442,0.01527689442,65.45833025,3,196.3749908,0,0,0,5.900837421,0.7296680716
42,3775,99,1521.61474,0,0,0,0,0,1,19.90429225,0.01990429225,0,12,602.8850384,0,0,0,5.437807083,0.763117742
43,3846,70,1180.115965,0,1,0,0,0,0,14.10373789,0.01410373789,70.90318946,3,212.7095684,0,0,0,7.044084549,0.810447875
44,3944,97,2290.958374,0,0,0,0,0,1,23.73970002,0.02373970002,0,9,379.1117829,1,0,0,2.747370958,0.4230124759
45,4031,86,1281.668429,0,0,0,0,0,1,14.89707555,0.01489707555,0,10,671.2726915,0,0,0,7.605916023,0.6061985188
46,4093,61,925.3606696,0,1,0,0,0,0,15.70864484,0.01570864484,63.65921505,2,127.3184301,0,0,0,4.746272087,1.752502852
